make: Nothing to be done for `test'.
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	4.29531	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	8.92953	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	21.0706	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	35.8877	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	14.7747	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	15.6212	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	22.1295	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	5.06153	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	26.0129	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	41.5497	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	49.2224	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	30.3547	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	35.5221	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	58.1101	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	4.2862	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	2	8.7833	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	3	15.318	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	6	35.8606	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	12	14.5216	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	24	15.2966	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	48	21.565	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	1	5.07653	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	2	25.0491	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	3	40.0598	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	47.3169	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	30.0457	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	StdSet	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	34.5172	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
